"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Categories","Images","Upsells","Cross-sells","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Sale price","Regular price"
"Simple","DR00181","White Gold Diamond Wedding-Engagement Ring for Men",1,,"visible","18 K WHITE  Gold Diamond Wedding Engagement Ring for Men  "," <li>18k white gold wedding engagement diamond ring for men </li>\n  <li>Size 62</li>\n  <li>Diamond 1.86 carrat ,Gold Gram total weight 10.59</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Men, Diamond Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00181.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00181.jpg,",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"59 MM 60 MM 61 MM 62 MM 63 MM 64 MM 65 MM",1,1,"Gold Weight  (g)",10.59,1,1,"Diamond Carat (Cts)",1.86,1,1,,,,,"11,425","12,695"
"Simple","DR00177","Yellow Gold Pear Shape Diamond Ring for Women",1,,"visible","18kt yellow Gold diamond pear shape ring for women"," <li>18k yellow gold with  pear shape diamond ring  </li>\n  <li>Size54 </li>\n  <li>Diamond 0.73 carrat Gold Gram total weight 3.27</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00177.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00177.jpg,",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Pear Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",3.27,1,1,"Diamond Carat (Cts)",0.73,1,1,,,,,"4,201","4,667"
"Simple","DE00169","Yellow Gold Pear Shape Diamond Earring",1,,"visible","18kt yellow Gold diamond pear shape Earring"," <li>18k yellow gold  pear shape diamond Earring  </li>\n  <li>Size Medium </li>\n  <li>Diamond 1.19 carrat Gold Gram total weight 4.01</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00169.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00169.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DE00169.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Pear Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",4.01,1,1,"Diamond Carat (Cts)",1.19,1,1,,,,,"6,275","6,972"
"Simple","DE00141","White Gold Oval Pave Shape Diamond Hoop  Earring",1,,"visible","A delicate 18k White Gold Oval Pave Shape Diamond Eaaring for women"," <li>18k white gold with  oval pave diamond hoop Earring  </li>\n  <li>Medium </li>\n  <li>Diamond 1.81 carrat Gold Gram total weight 8.46</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00141.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00141.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Oval Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",8.46,1,1,"Diamond Carat (Cts)",1.81,1,1,,,,,"10,265","11,406"
"Simple","DB00017","White Gold Triple Row Diamond Bracelet for Women",1,,"visible","18k White Gold Diamond Bracelet for Woman"," <li>18k white gold TRIPLE ROW DIAMOND BRACELET FOR WOMEN </li>\n  <li>Size18 </li>\n  <li>Diamond 5.05 carrat Gold Gram total weight 22.83</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DB00017.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Diamond Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"16 CM 17 CM 18 CM",1,1,"Gold Weight  (g)",22.83,1,1,"Diamond Carat (Cts)",5.05,1,1,,,,,"28,026","31,140"
"Simple","DP00157","White Gold Diamond Pendant for women",1,,"visible","18 KT White Gold Diamond Pendant  for Women"," <li>18k white gold Diamond pendant for women  </li>\n  <li>size m</li>\n  <li>Diamond 5.05 carrat Gold Gram total weight 22.83</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00157.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.84,1,1,"Diamond Carat (Cts)",0.48,1,1,,,,,"2,830","3,144"
"Simple","DE00172","White Gold Triple Row Diamond Earring",1,,"visible","18 KT White Gold Triple Row  Brilliant Diamond Earring"," <li>18k white gold TRIPLE ROW DIAMOND EARING FOR WOMEN </li>\n  <li>MEDIUM </li>\n  <li>Diamond 1.45 carrat Gold Gram total weight 6.27</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00172.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00172.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Triple Row",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",6.27,1,1,"Diamond Carat (Cts)",1.45,1,1,,,,,"8,021","8,912"
"Simple","DE00166","White Gold Big Rectangle Bling Diamond Earring",1,,"visible","18 KT White Gold Big Rectangle Bling Diamond Earring For Women"," <li>18k white gold BIG RECTANGLE DIAMOND EARING FOR WOMEN </li>\n  <li>MEDIUM </li>\n  <li>Diamond 2.92 carrat Gold Gram total weight 3.68</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00166.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00166.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Big Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.68,1,1,"Diamond Carat (Cts)",2.92,1,1,,,,,"14,194","15,771"
"Simple","DP00162","Yellow Gold Triple Row Diamond Pendant for Woman",1,,"visible","18KT Yellow Gold Tripple Row Diamond Pendant"," <li>18k YELLOW gold  TRIPLE ROW DIAMOND PENDANT FOR WOMEN </li>\n  <li>MEDIUM </li>\n  <li>Diamond 0.67 carrat Gold Gram total weight 3.08</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DP00162.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Triple Row",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.08,1,1,"Diamond Carat (Cts)",0.67,1,1,,,,,"3,736","4,151"
"Simple","DE00170","Yellow Gold Triple Row Diamond Earring",1,,"visible","18KT Yellow Gold Triple Row Diamond Earring"," <li>18k YELLOW gold  TRIPLE ROW DIAMOND EARING FOR WOMEN </li>\n  <li>MEDIUM </li>\n  <li>Diamond 1.39 carrat Gold Gram total weight 6.20</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00170.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00170.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Triple Row",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",6.2,1,1,"Diamond Carat (Cts)",1.39,1,1,,,,,"7,808","8,676"
