"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Categories","Images","Upsells","Cross-sells","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Sale price","Regular price"
"Simple","DR00182","White Gold Big Rectangle Bling Diamond Ring for Women",1,,"visible","18KT White Gold Big Rectangle Bling Ring for Women"," <li>18k white gold BIG RECTANGLE DIAMOND RING FOR WOMEN </li>\n  <li>53</li>\n  <li>Diamond 1.70 carrat Gold Gram total weight 2.60</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00182.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00182.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00182.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00182.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Big Rectangle",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"50 MM 51 MM 52 MM 53 MM 54 MM 55 MM 56 MM",1,1,"Gold Weight  (g)",2.6,1,1,"Diamond Carat (Cts)",1.7,1,1,,,,,"8,266","9,185"
"Simple","DG00008","Yellow Gold Diamaond Bangle for Women",1,,"visible","18 KT Yellow Gold Diamond Bangle for Women"," <li>18k YELLOW gold  DIAMOND BANGLE FOR WOMEN </li>\n  <li>size 17 </li>\n  <li>Diamond 2.28 carrat Gold Gram total weight 11.56</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Bangles","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DG00008.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DG00008.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Full Diamond",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"17 CM",1,1,"Gold Weight  (g)",11.56,1,1,"Diamond Carat (Cts)",2.28,1,1,,,,,"13,797","15,330"
"Simple","BR00122","Yellow Gold Silicon Band Bracelet for Men",1,,"visible","18 KT Yellow Gold Silicon Band Bracelet for Men"," <li>18k Yellow Gold Bracelet For men </li>\n  <li>size19</li>\n  <li> Gold Gram total weight 4.66</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00122.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00122.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Silicon Band and Plate",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"21 CM",1,1,"Gold Weight  (g)",4.66,1,1,,,,,,,,,,"1,370"
"Simple","PN00012","Yellow Gold Engraved Bitcoin Gold Necklace Pendant",1,,"visible","Engraved bitcoin Gold Necklace Pendant"," <li>18k yellow gold engraved pendant </li>\n  <li>Size 40*40mm</li>\n  <li>Gram total weight 9.33</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Pendants, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-PN00012.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-PN00012.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,,,,,"Engraving","Bitcoin ",1,1,"Gold Purity","18K",1,1,,,,,"Size",,"40*40 MM",1,1,"Gold Weight  (g)",9.33,1,1,,,,,,,,,,"2,743"
"Simple","BR00101","Yellow Gold Bracelet for Men",1,,"visible","18 KT Yellow  Gold Bracelet for Men"," <li>18k yellow gold BRACELET FOR MEN</li>\n  <li>19 CM </li>\n  <li>Gram total weight 11.52 </li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00101.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00101.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00101.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00101.jpg,",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Thin Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"17 CM 18 CM 19 CM",1,1,"Gold Weight  (g)",11.52,1,1,,,,,,,,,,"3,387"
"Simple","BR00037","Yellow Gold Designer Bracelet for Women",1,,"visible","18KT Yellow Gold Designer Bracelet for Women"," <li>18k YELLOW gold  BRACELET FOR WOMEN </li>\n  <li>19 CM</li>\n  <li> Gold Gram total weight 3.99</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00037.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00037.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00037.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00037.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Designer",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"16 CM 17 CM 18 CM 19 CM",1,1,"Gold Weight  (g)",3.99,1,1,,,,,,,,,,"1,173"
"Simple","BR00128","Yellow Gold Silicon band  Bracelet with cross for Men",1,,"visible","18KT Yellow Gold GOLD CROSS  Design Bracelet with Silicon Band"," <li>18k YELLOW gold BRACELET FOR MEN </li>\n  <li>size 19</li>\n  <li> Gold Gram total weight 3.27</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00128.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00128.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00128.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00128.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Silicon Band and Cross",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"21 CM",1,1,"Gold Weight  (g)",3.27,1,1,,,,,,,,,,961
"Simple","BR00043","Yellow Gold Multi Design Bracelet for Women",1,,"visible","18KT Yellow Gold Multi Design Bracelet for Women"," <li>18k YELLOW gold  BRACELET FOR WOMEN </li>\n  <li>19 CM</li>\n  <li> Gold Gram total weight 3.94</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00043.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00043.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00043.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00043.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Designer",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"17 CM 18 CM 19 CM",1,1,"Gold Weight  (g)",4.94,1,1,,,,,,,,,,"1,452"
"Simple","BR00031","Yellow Gold Bracelet for Men",1,,"visible","18KT Yellow Gold Bracelet for Men"," <li>18k YELLOW gold BRACELET FOR MEN </li>\n  <li>21CM </li>\n  <li> Gold Gram total weight 3.27</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00031.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00031.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00031.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Big Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"17 CM 18 CM 19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",25.06,1,1,,,,,,,,,,"7,368"
"Simple","BR00094","Yellow Gold Bracelet UNISEX",1,,"visible","18KT YELLOW GOLD BRACELET FOR UNISEX"," <li>18k YELLOW gold BRACELET FOR MEN </li>\n  <li>21CM </li>\n  <li> Gold Gram total weight 8.69</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women >  Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00094.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00094.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00094.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00094.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Square Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"16 CM 17 CM 18 CM 19 CM 20 CM 21 CM",1,1,"Gold Weight  (g)",8.96,1,1,,,,,,,,,,"2,634"
"Simple","CH00029","Yellow Gold Chain for Men",1,,"visible","18KT YELLOW GOLD CHAIN FOR MEN"," <li>18k YELLOW gold BRACELET FOR MEN </li>\n  <li>size medium</li>\n  <li> Gold Gram total weight 25.62</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Chains","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-CH000029.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-CH000029.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-CH000029.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-CH000029.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Thin Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"19 CM 20 CM 21 CM 22 CM 23 CM",1,1,"Gold Weight  (g)",25.62,1,1,,,,,,,,,,"7,532"
"Simple","DR00203","Rose Gold Diamond RING with sapphire",1,,"visible","18 Kt rose gold diamond ring with sapphire"," <li>18k Rose gold Diamond Ring for women </li>\n  <li>size 53 </li>\n  <li> Di.0.52 Gold Gram total weight 6.86 Other stone 1.48 cat</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00203.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00203.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00203.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00203.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/E-DR00203.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"50 MM 51 MM 52 MM 53 MM 54 MM 55 MM 56 MM",1,1,"Gold Weight  (g)",6.86,1,1,"Diamond Carat (Cts)",0.52,1,1,"Sapphire (Cts)",1.18,1,1,"7,000","7,778"
"Simple","BR00036","Yellow Gold Bracelet for Men",1,,"visible","18KT Yellow Gold Bracelet for Men"," <li>18k YELLOW gold BRACELET FOR MEN </li>\n  <li>21CM BIG</li>\n  <li> Gold Gram total weight 25.06</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-BR00036.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-BR00036.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-BR00036.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-BR00036.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,"Shape","Thin Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"17 CM 18 CM 19 CM 20 CM",1,1,"Gold Weight  (g)",25.06,1,1,,,,,,,,,,"7,368"
"Simple","DE00180","White Gold Diamond Hoop Earring for Women",1,,"visible","18KT White Gold Hoops Earring for women"," <li>18k WHITE gold EARING FOR WOMEN </li>\n  <li>Size Medium </li>\n  <li>DI.0.88 Carat Gold Gram total weight 3.68</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00180.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00180.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DE00180.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DE00180.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Hoop Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.68,1,1,"Diamond Carat (Cts)",0.88,1,1,,,,,"5,420","6,022"
"Simple","DE00181","Rose Gold Diamond Hoop Earring for Women",1,,"visible","18KT Rose Gold HOOPS ROSE GOLD DIAMOND EARING FOR WOMAN"," <li>18k ROSE gold EARING FOR WOMEN </li>\n  <li>Size Medium </li>\n  <li>DI.0.85 Carat Gold Gram total weight 3.75</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Earrings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DE00181.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DE00181.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DE00181.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DE00181.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Hoop Shape",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.75,1,1,"Diamond Carat (Cts)",0.85,1,1,,,,,"5,368","5,964"
"Simple","DN00071","White Gold Fine Diamond  Pendant Necklace for Women",1,,"visible","18KT WHITE GOLD FINE NECKLACE WITH DIAMONDPENDANT FOR WOMAN"," <li>18k WHITE GOLD FINE NECKLACE WITH DIAMOND FOR WOMEN </li>\n  <li>M </li>\n  <li>DI.0.24 Carat Gold Gram total weight 2.79</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Necklace","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DN00071.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DN00071.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DN00071.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DN00071.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.79,1,1,"Diamond Carat (Cts)",0.24,1,1,,,,,"2,473","2,748"
"Simple","DN00072","Yellow Gold Crystal bar Diamond Pendant Necklace for Women",1,,"visible","18KT YELLOW GOLD FINE NECKLACE WITH DIAMOND PENDANT FOR WOMAN"," <li>18k Yellow Gold Cystal Bar Diamond Pendant Necklace for Women</li>\n  <li>M </li>\n  <li>DI.0.32 Carat Gold Gram total weight 2.04</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Necklace","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DN00072.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DN00072.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DN00072.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DN00072.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Crystal Bar",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",2.04,1,1,"Diamond Carat (Cts)",0.32,1,1,,,,,"2,148","2,386"
"Simple","DN00078","Yellow Gold Double Double Bar Diamond Pendant  Necklace for Women",1,,"visible","18KT YELLOW GOLD ELEGANT LARIANT STYLE DOUBLE CRYSTL BAR DIAMOND PENDANT NECKLACE FOR WOMAN"," <li>18k YELLOW GOLD LARIANT DOUBLE BAR DIAMOND NECKLACE WITH PENDANT FOR WOMEN </li>\n  <li>M </li>\n  <li>DI.0.59 Carat Gold Gram total weight 3.42</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Necklace","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DN00078.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DN00078.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DN00078.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DN00078.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Double Bar",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.42,1,1,"Diamond Carat (Cts)",0.59,1,1,,,,,"4,099","4,554"
"Simple","DN00080","White Gold Sparkle Bar Diamond Pendant Necklace for Women",1,,"visible","18KT WHITE GOLD SPARKLE BAR DROP DIAMOND PENDANT NECKLACE FOR WOMAN"," <li>18k White Gold Sparkle Bar Diamond Pendant Necklace for Women </li>\n  <li>M </li>\n  <li>DI.0.80 Carat Gold Gram total weight 3.46</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Necklace","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DN00080.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DN00080.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DN00080.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DN00080.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Sparkle Bar",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"Mini Medium Large",1,1,"Gold Weight  (g)",3.46,1,1,"Diamond Carat (Cts)",0.8,1,1,,,,,"4,685","5,205"
"Simple","DR00185","White Gold Custom Cut Diamond Ring for Women",1,,"visible","18KT WHITE GOLD  CUSTOM CUT DIAMOND RING FOR WOMAN"," <li>18k WHITE GOLD CUSTOM CUT DIAMOND RING FOR WOMEN </li>\n  <li>size 54</li>\n  <li>DI.0.80 Carat Gold Gram total weight 3.46</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00185.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00185.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00185.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00185.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",3.21,1,1,"Diamond Carat (Cts)",0.68,1,1,,,,,"4,664","5,182"
"Simple","DR00187","White Gold Diamond Ring for Men",1,,"visible","18 KT WHITE GOLD DIAMOND RING FOR MEN"," <li>18k WHITE GOLD DIAMOND RING FOR MEN</li>\n  <li>SIZE 63</li>\n  <li>DI.0.78 Carat Gold Gram total weight 11.81</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Men, Diamond Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00187.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00187.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00187.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00187.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00187.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"60 MM 61 MM 62 MM 63 MM 64 MM 65 MM 66 MM",1,1,"Gold Weight  (g)",11.81,1,1,"Diamond Carat (Cts)",0.78,1,1,,,,,"9,398","10,442"
"Simple","DR00190","White Gold Twirling Diamond Ring For Women",1,,"visible","18KT WHITE GOLD TWIRLING DIAMOND RING FOR WOMEN"," <li>18k WHITE GOLD TWIRLING DIAMOND RING FOR WOMEN</li>\n  <li>SIZE55 </li>\n  <li>DI.0.75 Carat Gold Gram total weight 3.53</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00190.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00190.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00190.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00190.jpg",,,"Gold Type","White Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Twirling ",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"52 MM 53 MM 54 MM 55 MM 56 MM 57 MM 58 MM",1,1,"Gold Weight  (g)",3.53,1,1,"Diamond Carat (Cts)",0.75,1,1,,,,,"4,283","4,759"
"Simple","PN00010","Yellow Gold Cross Pendant UNISEX",1,,"visible","18KT GOLD PENDANT CROSS FOR NECKLACE"," <li>18kT YELLOW GOLD PENDANT FOR NECKLCAE</li>\n  <li>SIZE M </li>\n  <li>Gold Gram total weight 5.15</li>\n</ul>","taxable",1,1,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Pendants, Gold Jewellery, Gold Jewellery > Women, Gold Jewellery > Women > Pendants","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-PN00010.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-PN00010.jpg",,,"Gold Type","Yellow Gold",1,1,,,,,,,,,,,,,"Engraving","Cross",1,1,"Gold Purity","18K",1,1,,,,,"Size",,"30*30 MM",1,1,"Gold Weight  (g)",5.15,1,1,,,,,,,,,,"1,514"
"Simple","DR00184","Rose Gold Diamond Ring with Saphhire for Women",1,,"visible","18KT Rose Gold Diamond Ring with Saphhire for Women"," <li>18k ROSE GOLD TWIRLING DIAMOND RING FOR WOMEN</li>\n  <li>SIZE 54 </li>\n  <li>DI.1.81 Carat, Gold Gram total weight 6.01</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00184.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00184.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00184.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00184.jpg",,,"Gold Type","Rose Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,"Stone","Color Stone",1,1,"Size",,"51 MM 52 MM 53 MM 54 MM 55 MM 56 MM 57 MM",1,1,"Gold Weight  (g)",6.01,1,1,"Diamond Carat (Cts)",1.18,1,1,,,,,"7,794","8,660"
"Simple","DR00154","Yellow Gold Diamond Ring for Men",1,,"visible","18 YELLOW GOLD DIAMOND RING FOR MEN"," <li>18k Yellow Gold Diamond Ring for Men</li>\n  <li>SIZE 63 </li>\n  <li>DI.1.02 Carat, Gold Gram total weight 8.32</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Men, Diamond Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DR00154.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DR00154.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/C-DR00154.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/D-DR00154.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,,,,,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"60 MM 61 MM 62 MM 63 MM 64 MM 65 MM 66 MM",1,1,"Gold Weight  (g)",8.32,1,1,"Diamond Carat (Cts)",1.02,1,1,,,,,"7,374","8,193"
"Simple","DB00018","Yellow Gold Triple Row Diamond Bracelet for Women",1,,"visible","18kT YELLOW gold TRIPLE ROW  brilliant diamond Bracelet"," <li>18k YELLOW gold TRIPLE ROW DIAMOND BRACELET FOR WOMEN </li>\n  <li>18.00 CM </li>\n  <li>Diamond 4.70 carrat Gold Gram total weight 17.71</li>\n</ul>","taxable",1,1,"Diamond Jewellery, Diamond Jewellery > Women, Diamond Jewellery > Women > Bracelet","https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/A-DB00018.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product1905/B-DB00018.jpg",,,"Gold Type","Yellow Gold",1,1,"Diamond Cut/Clearity","vs-si clearity H diamond",1,1,,,,,"Shape","Diamond Link",1,1,,,,,"Gold Purity","18K",1,1,,,,,"Size",,"16 CM 17 CM 18 CM",1,1,"Gold Weight  (g)",17.71,1,1,"Diamond Carat (Cts)",4.7,1,1,,,,,"25,253","28,059"
