ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Upsells,Cross-sells,Tax status,Tax class,Sold individually?,In stock?,Stock,sale price,Regular price,Weight (g),Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
97000,variable,RN00018,Yellow Gold Onyx Oval Ring for Men,1,1,visible,18k Yellow Gold Onyx Oval Ring for Men,<li>18k yellow gold with round brilliant onyx</li>\n  <li>Size 62</li>\n <li>Gram total weight 6.81</li>\n</ul>,89165334125,8913213496,taxable,parent,0,1,50,8500,10000,6.81,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018-FRONT01.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018BACK03.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018SIDE02.jpg",,Onyx Stone Color,Black,1,1,Onyx Stone Shape,Round,1,1,Ring Size,62,1,1
97001,variation,RN00028,Yellow Gold Onyx Line Ring for Men,1,1,visible,18k Yellow Gold Onyx Line Ring for Men, <li>18k yellow gold with  squre face brilliant onyx</li>\n  <li>Size 62</li>\n  <li>Gram total weight 7.75</li>\n</ul>,89165334125,8913213496,taxable,parent,0,1,50,9500,10000,7.75,"Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00028-FRONT01.jpg,https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00028-BACK02.jpg,
https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00028-BACK04.jpg,
https://entoun.com/entounstaging/wp-content/uploads/2022/Product04/
RN00028-SIDE03.jpg
",RN00018,Onyx Stone Color,Black,1,1,Onyx Stone Shape,line,1,1,Ring Size,62,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
