"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","Tax class","Sold individually?","In stock?","Stock","sale price","Regular price","Categories","Tags","Images","Parent","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Weight (g)"
1000,"variable","RN00018","Yellow Gold Onyx Oval Ring for Men RN00018",1,1,"visible","18k Yellow Gold Onyx Oval Ring for Men","<li>18k yellow gold with round brilliant onyx</li>\n  <li>Size 62</li>\n <li>Gram total weight 6.81</li>\n</ul>","taxable","parent",0,1,1,,,"Default Category > Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","ring,gold","http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018-FRONT01.jpg, http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018SIDE02.jpg,http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018SIDE02.jpgRN00018-FRONT01.jpg","RN00018","Onyx Stone Color","Black",1,1,"Onyx Stone Shape","Round",1,1,"Ring Size","62 MM",1,1,6.81
1001,"variation","RN0001862MM","Yellow Gold Onyx Oval Ring for Men RN00018",1,1,"visible","18k Yellow Gold Onyx Oval Ring for Men","<li>18k yellow gold with round brilliant onyx</li>\n  <li>Size 62</li>\n <li>Gram total weight 6.81</li>\n</ul>","taxable","parent",0,1,1,,,"Default Category > Gold Jewellery, Gold Jewellery > Men, Gold Jewellery > Men > Rings","ring,gold","http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018-FRONT01.jpg, http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018SIDE02.jpg,http://entoun.com/entounstaging/wp-content/uploads/2022/Product04/RN00018SIDE02.jpgRN00018-FRONT01.jpg","RN00018","Onyx Stone Color","Black",1,1,"Onyx Stone Shape","Round",1,1,"Ring Size","62 MM",1,1,6.81
